Item,Condition,Stimulus,NP_Number,Auxiliary,Full_Sentence,model_type,source_file,attention_entropy,attention_diff
31,d,The truck with the firemans' hose,plural,are,The truck with the firemans' hose are leaving.,bert,syn,1.1066644,-0.021496569866847982
32,a,The response to the country's attack,singular,is,The response to the country's attack is immediate.,bert,syn,1.2067221,-0.02345869031662788
32,b,The response to the country's attack,singular,are,The response to the country's attack are immediate.,bert,syn,1.2441146,-0.021072790682469655
32,c,The response to the countries' attack,plural,is,The response to the countries' attack is immediate.,bert,syn,1.1423653,-0.037928316319627654
32,d,The response to the countries' attack,plural,are,The response to the countries' attack are immediate.,bert,syn,1.1864476,-0.03673466481743039
1,a,The slogan on the poster,singular,is,The slogan on the poster is designed to get attention.,gpt2,no_syn,1.2552193,-0.18494488395985514
1,b,The slogan on the posters,plural,is,The slogan on the posters is designed to get attention.,gpt2,no_syn,1.2677324,-0.15695223086222543
1,c,The slogan on the poster,singular,are,The slogan on the poster are designed to get attention.,gpt2,no_syn,1.3066458,-0.18253215471631845
1,d,The slogan on the posters,plural,are,The slogan on the posters are designed to get attention.,gpt2,no_syn,1.295662,-0.24784512593284944
2,a,The picture on the flier,singular,is,The picture on the flier is of a village church in the south of France.,gpt2,no_syn,1.2212363,-0.2782636373304129
2,b,The picture on the fliers,plural,is,The picture on the fliers is of a village church in the south of France.,gpt2,no_syn,1.2415726,-0.22812236554405443
2,c,The picture on the flier,singular,are,The picture on the flier are of a village church in the south of France.,gpt2,no_syn,1.340575,-0.3215300388028721
2,d,The picture on the fliers,plural,are,The picture on the fliers are of a village church in the south of France.,gpt2,no_syn,1.3070072,-0.3344794903921725
3,a,The mistake in the program,singular,is,The mistake in the program is disastrous for the small software company.,gpt2,no_syn,1.2503275,-0.14159104752322776
3,b,The mistake in the programs,plural,is,The mistake in the programs is disastrous for the small software company.,gpt2,no_syn,1.2415878,-0.15661058210290102
3,c,The mistake in the program,singular,are,The mistake in the program are disastrous for the small software company.,gpt2,no_syn,1.3202565,-0.14378420622352736
3,d,The mistake in the programs,plural,are,The mistake in the programs are disastrous for the small software company.,gpt2,no_syn,1.3335105,-0.2585659508957196
4,a,The label on the container,singular,is,The label on the container is a warning about the hazardous chemicals inside.,gpt2,no_syn,1.2421886,-0.19447825205269284
4,b,The label on the containers,plural,is,The label on the containers is a warning about the hazardous chemicals inside.,gpt2,no_syn,1.2409711,-0.17458497853383362
4,c,The label on the container,singular,are,The label on the container are a warning about the hazardous chemicals inside.,gpt2,no_syn,1.2600352,-0.17419566770302028
4,d,The label on the containers,plural,are,The label on the containers are a warning about the hazardous chemicals inside.,gpt2,no_syn,1.2512798,-0.238214151880365
5,a,The problem in the store,singular,is,The problem in the store is solved by firing the custodian.,gpt2,no_syn,1.3070271,-0.1504878647390987
5,b,The problem in the stores,plural,is,The problem in the stores is solved by firing the custodian.,gpt2,no_syn,1.3025393,-0.14960147028700777
5,c,The problem in the store,singular,are,The problem in the store are solved by firing the custodian.,gpt2,no_syn,1.3744807,-0.15369901312115106
5,d,The problem in the stores,plural,are,The problem in the stores are solved by firing the custodian.,gpt2,no_syn,1.3693812,-0.28344966163801844
6,a,The name on the billboard,singular,is,The name on the billboard is of a prominent local businessman.,gpt2,no_syn,1.2254868,-0.2547492960595356
6,b,The name on the billboards,plural,is,The name on the billboards is of a prominent local businessman.,gpt2,no_syn,1.2508733,-0.20271073642482165
6,c,The name on the billboard,singular,are,The name on the billboard are of a prominent local businessman.,gpt2,no_syn,1.2867824,-0.2307580717910639
6,d,The name on the billboards,plural,are,The name on the billboards are of a prominent local businessman.,gpt2,no_syn,1.2923895,-0.2943086169334748
7,a,The crime in the suburb,singular,is,The crime in the suburb is a reflection of the violence in today's society.,gpt2,no_syn,1.2669946,-0.13973879410632434
7,b,The crime in the suburbs,plural,is,The crime in the suburbs is a reflection of the violence in today's society.,gpt2,no_syn,1.2769047,-0.08515860635122435
7,c,The crime in the suburb,singular,are,The crime in the suburb are a reflection of the violence in today's society.,gpt2,no_syn,1.3762922,-0.13929734242551037
7,d,The crime in the suburbs,plural,are,The crime in the suburbs are a reflection of the violence in today's society.,gpt2,no_syn,1.3706377,-0.16128326234698137
8,a,The defect in the appliance,singular,is,The defect in the appliance is unknown to consumers and government regulators.,gpt2,no_syn,1.250203,-0.19554771841243335
8,b,The defect in the appliances,plural,is,The defect in the appliances is unknown to consumers and government regulators.,gpt2,no_syn,1.2365278,-0.20259982053950124
8,c,The defect in the appliance,singular,are,The defect in the appliance are unknown to consumers and government regulators.,gpt2,no_syn,1.2993841,-0.190241995493443
8,d,The defect in the appliances,plural,are,The defect in the appliances are unknown to consumers and government regulators.,gpt2,no_syn,1.2710913,-0.26640722674759443
9,a,The citation on the notecard,singular,is,The citation on the notecard is quite difficult to track down using the library's limited resources.,gpt2,no_syn,1.3805395,-0.3490770612836178
9,b,The citation on the notecards,plural,is,The citation on the notecards is quite difficult to track down using the library's limited resources.,gpt2,no_syn,1.3212521,-0.3226403405738889
9,c,The citation on the notecard,singular,are,The citation on the notecard are quite difficult to track down using the library's limited resources.,gpt2,no_syn,1.5372045,-0.4128648867804342
9,d,The citation on the notecards,plural,are,The citation on the notecards are quite difficult to track down using the library's limited resources.,gpt2,no_syn,1.4700398,-0.44528767651044043
10,a,The advertisement on the skyscraper,singular,is,The advertisement on the skyscraper is hard to read except from a long distance away.,gpt2,no_syn,1.3491443,-0.29295573774250827
10,b,The advertisement on the skyscrapers,plural,is,The advertisement on the skyscrapers is hard to read except from a long distance away.,gpt2,no_syn,1.4410995,-0.2871339469135097
10,c,The advertisement on the skyscraper,singular,are,The advertisement on the skyscraper are hard to read except from a long distance away.,gpt2,no_syn,1.4171569,-0.2714618861012879
10,d,The advertisement on the skyscrapers,plural,are,The advertisement on the skyscrapers are hard to read except from a long distance away.,gpt2,no_syn,1.4880553,-0.34664198688393955
11,a,The traitor in the camp,singular,is,The traitor in the camp is passing information to the enemy through various secret methods.,gpt2,no_syn,1.2443731,-0.0020176587099065557
11,b,The traitor in the camps,plural,is,The traitor in the camps is passing information to the enemy through various secret methods.,gpt2,no_syn,1.266804,-0.021692015387174746
11,c,The traitor in the camp,singular,are,The traitor in the camp are passing information to the enemy through various secret methods.,gpt2,no_syn,1.3342488,-0.0230302478457787
11,d,The traitor in the camps,plural,are,The traitor in the camps are passing information to the enemy through various secret methods.,gpt2,no_syn,1.3265272,-0.08183204892115545
12,a,The flaw in the argument,singular,is,The flaw in the argument is clear to everyone in the lecture hall after just five minutes.,gpt2,no_syn,1.2289832,-0.2235966255719859
12,b,The flaw in the arguments,plural,is,The flaw in the arguments is clear to everyone in the lecture hall after just five minutes.,gpt2,no_syn,1.2199485,-0.22280197902769033
12,c,The flaw in the argument,singular,are,The flaw in the argument are clear to everyone in the lecture hall after just five minutes.,gpt2,no_syn,1.270961,-0.24783984210689597
12,d,The flaw in the arguments,plural,are,The flaw in the arguments are clear to everyone in the lecture hall after just five minutes.,gpt2,no_syn,1.2439003,-0.3365781355773322
13,a,The door to the laboratory,singular,is,The door to the laboratory is left unlocked by the cleaning service.,gpt2,no_syn,1.2101576,-0.1427622119467504
13,b,The door to the laboratories,plural,is,The door to the laboratories is left unlocked by the cleaning service.,gpt2,no_syn,1.1941717,-0.15309962794437534
13,c,The door to the laboratory,singular,are,The door to the laboratory are left unlocked by the cleaning service.,gpt2,no_syn,1.2586552,-0.15481964178561614
13,d,The door to the laboratories,plural,are,The door to the laboratories are left unlocked by the cleaning service.,gpt2,no_syn,1.2590224,-0.22451326367344546
14,a,The memo from the supervisor,singular,is,The memo from the supervisor is about the delinquent tax return.,gpt2,no_syn,1.2220876,-0.18384033545492431
14,b,The memo from the supervisors,plural,is,The memo from the supervisors is about the delinquent tax return.,gpt2,no_syn,1.243087,-0.14351753106358273
14,c,The memo from the supervisor,singular,are,The memo from the supervisor are about the delinquent tax return.,gpt2,no_syn,1.3196232,-0.1935047878400837
14,d,The memo from the supervisors,plural,are,The memo from the supervisors are about the delinquent tax return.,gpt2,no_syn,1.3509341,-0.2534307970272266
15,a,The check from the stockbroker,singular,is,The check from the stockbroker is a dividend on a long-term bond.,gpt2,no_syn,1.3758934,-0.3405538438353686
15,b,The check from the stockbrokers,plural,is,The check from the stockbrokers is a dividend on a long-term bond.,gpt2,no_syn,1.3580753,-0.3141332384664535
15,c,The check from the stockbroker,singular,are,The check from the stockbroker are a dividend on a long-term bond.,gpt2,no_syn,1.4457247,-0.41446715136989737
15,d,The check from the stockbrokers,plural,are,The check from the stockbrokers are a dividend on a long-term bond.,gpt2,no_syn,1.4512664,-0.4473867132560728
16,a,The key to the cell,singular,is,The key to the cell is rusty from many years of disuse.,gpt2,no_syn,1.2628958,-0.24134247815622487
16,b,The key to the cells,plural,is,The key to the cells is rusty from many years of disuse.,gpt2,no_syn,1.2778487,-0.18142022538427172
16,c,The key to the cell,singular,are,The key to the cell are rusty from many years of disuse.,gpt2,no_syn,1.3017147,-0.2336547310579926
16,d,The key to the cells,plural,are,The key to the cells are rusty from many years of disuse.,gpt2,no_syn,1.3144081,-0.2817941403785235
17,a,The letter from the investigator,singular,is,The letter from the investigator is received in San Francisco in late March.,gpt2,no_syn,1.2421529,-0.18825733899788585
17,b,The letter from the investigators,plural,is,The letter from the investigators is received in San Francisco in late March.,gpt2,no_syn,1.2548728,-0.12908411796692004
17,c,The letter from the investigator,singular,are,The letter from the investigator are received in San Francisco in late March.,gpt2,no_syn,1.2948868,-0.23134606962084941
17,d,The letter from the investigators,plural,are,The letter from the investigators are received in San Francisco in late March.,gpt2,no_syn,1.3070532,-0.2892467669882762
18,a,The entrance to the exhibit,singular,is,The entrance to the exhibit is hard to locate on the diagram.,gpt2,no_syn,1.2505378,-0.13980564704042991
18,b,The entrance to the exhibits,plural,is,The entrance to the exhibits is hard to locate on the diagram.,gpt2,no_syn,1.2573087,-0.12545893244082437
18,c,The entrance to the exhibit,singular,are,The entrance to the exhibit are hard to locate on the diagram.,gpt2,no_syn,1.3200772,-0.12855122682067302
18,d,The entrance to the exhibits,plural,are,The entrance to the exhibits are hard to locate on the diagram.,gpt2,no_syn,1.3105671,-0.1971279312232127
19,a,The warning from the expert,singular,is,The warning from the expert is a shock to the residents of the city.,gpt2,no_syn,1.1708443,-0.21555682812930282
19,b,The warning from the experts,plural,is,The warning from the experts is a shock to the residents of the city.,gpt2,no_syn,1.2408184,-0.1241619961519973
19,c,The warning from the expert,singular,are,The warning from the expert are a shock to the residents of the city.,gpt2,no_syn,1.2631752,-0.23742386642801422
19,d,The warning from the experts,plural,are,The warning from the experts are a shock to the residents of the city.,gpt2,no_syn,1.2952719,-0.3074234761708794
20,a,The bridge to the island,singular,is,The bridge to the island is about ten miles off the main highway.,gpt2,no_syn,1.2675941,-0.10437247258323623
20,b,The bridge to the islands,plural,is,The bridge to the islands is about ten miles off the main highway.,gpt2,no_syn,1.2697425,-0.09512567487454365
20,c,The bridge to the island,singular,are,The bridge to the island are about ten miles off the main highway.,gpt2,no_syn,1.2911308,-0.1154416043722449
20,d,The bridge to the islands,plural,are,The bridge to the islands are about ten miles off the main highway.,gpt2,no_syn,1.3070694,-0.1679818089971377
21,a,The gift from the visitor,singular,is,The gift from the visitor is a beautiful clock from Germany.,gpt2,no_syn,1.2280481,-0.18771959081528278
21,b,The gift from the visitors,plural,is,The gift from the visitors is a beautiful clock from Germany.,gpt2,no_syn,1.255776,-0.14347915961095625
21,c,The gift from the visitor,singular,are,The gift from the visitor are a beautiful clock from Germany.,gpt2,no_syn,1.2654619,-0.20863365883367352
21,d,The gift from the visitors,plural,are,The gift from the visitors are a beautiful clock from Germany.,gpt2,no_syn,1.2597063,-0.2669699182300235
22,a,The path to the monument,singular,is,The path to the monument is lined with lovely trees and flowers.,gpt2,no_syn,1.2206948,-0.19179858732340163
22,b,The path to the monuments,plural,is,The path to the monuments is lined with lovely trees and flowers.,gpt2,no_syn,1.248853,-0.16232834734330479
22,c,The path to the monument,singular,are,The path to the monument are lined with lovely trees and flowers.,gpt2,no_syn,1.2779558,-0.18360308898245703
22,d,The path to the monuments,plural,are,The path to the monuments are lined with lovely trees and flowers.,gpt2,no_syn,1.3289267,-0.24268803670729255
23,a,The message from the engineer,singular,is,The message from the engineer is about the recent weakening to the building's structural supports.,gpt2,no_syn,1.1921139,-0.2674947303022658
23,b,The message from the engineers,plural,is,The message from the engineers is about the recent weakening to the building's structural supports.,gpt2,no_syn,1.2267172,-0.2136985482954598
23,c,The message from the engineer,singular,are,The message from the engineer are about the recent weakening to the building's structural supports.,gpt2,no_syn,1.2315295,-0.25406856175409287
23,d,The message from the engineers,plural,are,The message from the engineers are about the recent weakening to the building's structural supports.,gpt2,no_syn,1.2339351,-0.35417721574398364
24,a,The gate to the pasture,singular,is,The gate to the pasture is falling down due to disrepair.,gpt2,no_syn,1.2473849,-0.16479401362050797
24,b,The gate to the pastures,plural,is,The gate to the pastures is falling down due to disrepair.,gpt2,no_syn,1.3041481,-0.24166642411376354
24,c,The gate to the pasture,singular,are,The gate to the pasture are falling down due to disrepair.,gpt2,no_syn,1.2685828,-0.15141667341417817
24,d,The gate to the pastures,plural,are,The gate to the pastures are falling down due to disrepair.,gpt2,no_syn,1.3815222,-0.29029630363030656
1,a,The cake at the senator’s celebration,singular,is,The cake at the senator’s celebration is delicious.,gpt2,syn,1.2959368,-0.02489821245938767
1,b,The cake at the senator’s celebration,singular,are,The cake at the senator’s celebration are delicious.,gpt2,syn,1.3874878,-0.04024101988516718
1,c,The cake at the senators’ celebration,plural,is,The cake at the senators’ celebration is delicious.,gpt2,syn,1.3097645,-0.013942548367687213
1,d,The cake at the senators’ celebration,plural,are,The cake at the senators’ celebration are delicious.,gpt2,syn,1.4294422,-0.07210350458362558
2,a,The call to the doctor’s secretary,singular,is,The call to the doctor’s secretary is urgent.,gpt2,syn,1.2646043,-0.04511665685559771
2,b,The call to the doctor’s secretary,singular,are,The call to the doctor’s secretary are urgent.,gpt2,syn,1.3359015,-0.08787319873193583
2,c,The call to the doctors’ secretary,plural,is,The call to the doctors’ secretary is urgent.,gpt2,syn,1.2981877,-0.03642134342675693
2,d,The call to the doctors’ secretary,plural,are,The call to the doctors’ secretary are urgent.,gpt2,syn,1.4100691,-0.11172192685498664
3,a,The computer for the laboratory’s experiment,singular,is,The computer for the laboratory’s experiment is modern.,gpt2,syn,1.3913522,-0.04184807012495412
3,b,The computer for the laboratory’s experiment,singular,are,The computer for the laboratory’s experiment are modern.,gpt2,syn,1.4487383,-0.055857022990145985
3,c,The computer for the laboratories’ experiment,plural,is,The computer for the laboratories’ experiment is modern.,gpt2,syn,1.4055727,-0.07033437766222081
3,d,The computer for the laboratories’ experiment,plural,are,The computer for the laboratories’ experiment are modern.,gpt2,syn,1.5024598,-0.12741541416292843
4,a,The encounter with the wolf's baby,singular,is,The encounter with the wolf's baby is frightening.,gpt2,syn,1.2520548,-0.0538877984893328
4,b,The encounter with the wolf's baby,singular,are,The encounter with the wolf's baby are frightening.,gpt2,syn,1.3033957,-0.0971689293286962
4,c,The encounter with the wolves' baby,plural,is,The encounter with the wolves' baby is frightening.,gpt2,syn,1.2643912,-0.06574054119871507
4,d,The encounter with the wolves' baby,plural,are,The encounter with the wolves' baby are frightening.,gpt2,syn,1.3581278,-0.12794885613830176
5,a,The plan for the school’s upgrade,singular,is,The plan for the school’s upgrade is unrealistic.,gpt2,syn,1.2964919,-0.08875841400591113
5,b,The plan for the school’s upgrade,singular,are,The plan for the school’s upgrade are unrealistic.,gpt2,syn,1.3826876,-0.1055893004440577
5,c,The plan for the schools’ upgrade,plural,is,The plan for the schools’ upgrade is unrealistic.,gpt2,syn,1.3121938,-0.08481451708330391
5,d,The plan for the schools’ upgrade,plural,are,The plan for the schools’ upgrade are unrealistic.,gpt2,syn,1.4153957,-0.1301141928118234
6,a,The problem with the family’s account,singular,is,The problem with the family’s account is discussed.,gpt2,syn,1.4124644,-0.11638777696014234
6,b,The problem with the family’s account,singular,are,The problem with the family’s account are discussed.,gpt2,syn,1.4551253,-0.14280521932020024
6,c,The problem with the families’ account,plural,is,The problem with the families’ account is discussed.,gpt2,syn,1.3994973,-0.1199245210066657
6,d,The problem with the families’ account,plural,are,The problem with the families’ account are discussed.,gpt2,syn,1.4654012,-0.21877600761543142
7,a,The report to the chairman's advisor,singular,is,The report to the chairman's advisor is shocking.,gpt2,syn,1.314248,-0.08346716204943395
7,b,The report to the chairman's advisor,singular,are,The report to the chairman's advisor are shocking.,gpt2,syn,1.4309845,-0.12988262227827357
7,c,The report to the chairmans' advisor,plural,is,The report to the chairmen' advisor is shocking.,gpt2,syn,1.3849171,-0.08433976719036197
7,d,The report to the chairmans' advisor,plural,are,The report to the chairmen' advisor are shocking.,gpt2,syn,1.5233811,-0.18037999905096858
8,a,The telegram for the congressman's lobbyist,singular,is,The telegram for the congressman's lobbyist is never received.,gpt2,syn,1.4119104,-0.01194468494864237
8,b,The telegram for the congressman's lobbyist,singular,are,The telegram for the congressman's lobbyist are never received.,gpt2,syn,1.45007,-0.014869555003481222
8,c,The telegram for the congressmans' lobbyist,plural,is,The telegram for the congressmans' lobbyist is never received.,gpt2,syn,1.4549252,-0.05821565848308602
8,d,The telegram for the congressmans' lobbyist,plural,are,The telegram for the congressmans' lobbyist are never received.,gpt2,syn,1.526414,-0.09529877515733118
9,a,The announcement from the magazine’s spokeswoman,singular,is,The announcement from the magazine’s spokeswoman is astonishing.,gpt2,syn,1.2812309,-0.019598617082285053
9,b,The announcement from the magazine’s spokeswoman,singular,are,The announcement from the magazine’s spokeswoman are astonishing.,gpt2,syn,1.3943279,-0.0343499591793231
9,c,The announcement from the magazines’ spokeswoman,plural,is,The announcement from the magazines’ spokeswoman is astonishing.,gpt2,syn,1.3028132,-0.023794407962470787
9,d,The announcement from the magazines’ spokeswoman,plural,are,The announcement from the magazines’ spokeswoman are astonishing.,gpt2,syn,1.4602345,-0.08243530378430391
10,a,The large dog at the toddler’s party,singular,is,The large dog at the toddler’s party is adorable.,gpt2,syn,1.4433053,0.024667442560885655
10,b,The large dog at the toddler’s party,singular,are,The large dog at the toddler’s party are adorable.,gpt2,syn,1.4890046,0.03730130425813872
10,c,The large dog at the toddlers’ party,plural,is,The large dog at the toddlers’ party is adorable.,gpt2,syn,1.440512,0.0287851953413324
10,d,The large dog at the toddlers’ party,plural,are,The large dog at the toddlers’ party are adorable.,gpt2,syn,1.4928215,0.03116649148722793
11,a,The letter to the housewife’s representative,singular,is,The letter to the housewife’s representative is hostile.,gpt2,syn,1.3408647,-0.12136705540139404
11,b,The letter to the housewife’s representative,singular,are,The letter to the housewife’s representative are hostile.,gpt2,syn,1.4480431,-0.13364389939949733
11,c,The letter to the housewives’ representative,plural,is,The letter to the housewives’ representative is hostile.,gpt2,syn,1.3679426,-0.09307353021514043
11,d,The letter to the housewives’ representative,plural,are,The letter to the housewives’ representative are hostile.,gpt2,syn,1.5195992,-0.16349434298220972
12,a,The message for the wizard’s apprentice,singular,is,The message for the wizard’s apprentice is puzzling.,gpt2,syn,1.337119,-0.06165924155349249
12,b,The message for the wizard’s apprentice,singular,are,The message for the wizard’s apprentice are puzzling.,gpt2,syn,1.4103163,-0.06599057459349683
12,c,The message for the wizards’ apprentice,plural,is,The message for the wizards’ apprentice is puzzling.,gpt2,syn,1.3417412,-0.05724814378618967
12,d,The message for the wizards’ apprentice,plural,are,The message for the wizards’ apprentice are puzzling.,gpt2,syn,1.4452804,-0.13042602601902337
13,a,The outfit for the saleslady’s display,singular,is,The outfit for the saleslady’s display is attractive.,gpt2,syn,1.5368072,-0.18998925832011507
13,b,The outfit for the saleslady’s display,singular,are,The outfit for the saleslady’s display are attractive.,gpt2,syn,1.6256859,-0.23456346417246757
13,c,The outfit for the salesladies’ display,plural,is,The outfit for the salesladies’ display is attractive.,gpt2,syn,1.5081763,-0.16793711650629323
13,d,The outfit for the salesladies’ display,plural,are,The outfit for the salesladies’ display are attractive.,gpt2,syn,1.6399838,-0.27207467555463705
14,a,The position in the woman's newsletter,singular,is,The position in the woman's newsletter is unpopular.,gpt2,syn,1.2944376,-0.06257618908710176
14,b,The position in the woman's newsletter,singular,are,The position in the woman's newsletter are unpopular.,gpt2,syn,1.3996601,-0.09954189837143523
14,c,The position in the women's newsletter,plural,is,The position in the women's newsletter is unpopular.,gpt2,syn,1.316671,-0.003752868059576725
14,d,The position in the women's newsletter,plural,are,The position in the women's newsletter are unpopular.,gpt2,syn,1.4356093,-0.10870995875339143
15,a,The promise from the company’s salesman,singular,is,The promise from the company’s salesman is broken.,gpt2,syn,1.2646015,-0.02584634154158391
15,b,The promise from the company’s salesman,singular,are,The promise from the company’s salesman are broken.,gpt2,syn,1.3489149,-0.04383436908907261
15,c,The promise from the companies’ salesman,plural,is,The promise from the companies’ salesman is broken.,gpt2,syn,1.2872355,-0.027526623481995444
15,d,The promise from the companies’ salesman,plural,are,The promise from the companies’ salesman are broken.,gpt2,syn,1.4033751,-0.09813426704689385
16,a,The speech about the councilman's proposal,singular,is,The speech about the councilman's proposal is convincing.,gpt2,syn,1.3558177,-0.09051827574950513
16,b,The speech about the councilman's proposal,singular,are,The speech about the councilman's proposal are convincing.,gpt2,syn,1.3731414,-0.12934841369830413
16,c,The speech about the councilmans' proposal,plural,is,The speech about the councilmans' proposal is convincing.,gpt2,syn,1.3648624,-0.09444319713864559
16,d,The speech about the councilmans' proposal,plural,are,The speech about the councilmans' proposal are convincing.,gpt2,syn,1.4056358,-0.1485809730423474
17,a,The confession of the thief's accomplice,singular,is,The confession of the thief's accomplice is tape recorded.,gpt2,syn,1.4483064,-0.05479494154426716
17,b,The confession of the thief's accomplice,singular,are,The confession of the thief's accomplice are tape recorded.,gpt2,syn,1.4573174,-0.0581188598853252
17,c,The confession of the thieves' accomplice,plural,is,The confession of the thieves' accomplice is tape recorded.,gpt2,syn,1.4640659,-0.015661681168635755
17,d,The confession of the thieves' accomplice,plural,are,The confession of the thieves' accomplice are tape recorded.,gpt2,syn,1.5075891,-0.056924952937254816
18,a,The disagreement about the corporation's lawsuit,singular,is,The disagreement about the corporation's lawsuit is petty.,gpt2,syn,1.3430855,-0.021054300743582055
18,b,The disagreement about the corporation's lawsuit,singular,are,The disagreement about the corporation's lawsuit are petty.,gpt2,syn,1.3986883,-0.04758402826533471
18,c,The disagreement about the corporations' lawsuit,plural,is,The disagreement about the corporations' lawsuit is petty.,gpt2,syn,1.3652358,-0.03169082459859077
18,d,The disagreement about the corporations' lawsuit,plural,are,The disagreement about the corporations' lawsuit are petty.,gpt2,syn,1.4319806,-0.08520561832698104
19,a,The dress at the designer's showcase,singular,is,The dress at the designer's showcase is expensive.,gpt2,syn,1.3623979,-0.0045651602927901935
19,b,The dress at the designer's showcase,singular,are,The dress at the designer's showcase are expensive.,gpt2,syn,1.4621493,-0.04261772515374557
19,c,The dress at the designers' showcase,plural,is,The dress at the designers' showcase is expensive.,gpt2,syn,1.3557558,-0.009684956703405634
19,d,The dress at the designers' showcase,plural,are,The dress at the designers' showcase are expensive.,gpt2,syn,1.4814736,-0.08965654384861443
20,a,The hex from the fairy's spellbook,singular,is,The hex from the fairy's spellbook is ineffective.,gpt2,syn,1.4149152,-0.03588543445045565
20,b,The hex from the fairy's spellbook,singular,are,The hex from the fairy's spellbook are ineffective.,gpt2,syn,1.4409118,-0.04480906083215741
20,c,The hex from the fairys' spellbook,plural,is,The hex from the fairys' spellbook is ineffective.,gpt2,syn,1.475241,-0.0423627345918737
20,d,The hex from the fairys' spellbook,plural,are,The hex from the fairys' spellbook are ineffective.,gpt2,syn,1.5292856,-0.06822163698450642
21,a,The job for the cleaning lady's helper,singular,is,The job for the cleaning lady's helper is tiring.,gpt2,syn,1.4031634,0.07307890392820593
21,b,The job for the cleaning lady's helper,singular,are,The job for the cleaning lady's helper are tiring.,gpt2,syn,1.4908414,0.028059228946114883
21,c,The job for the cleaningladies' helper,plural,is,The job for the cleaningladies' helper is tiring.,gpt2,syn,1.4617847,-0.1033390486445566
21,d,The job for the cleaningladies' helper,plural,are,The job for the cleaningladies' helper are tiring.,gpt2,syn,1.5923036,-0.2341953961513349
22,a,The restaurant near the fisherman's dock,singular,is,The restaurant near the fisherman's dock is closed down.,gpt2,syn,1.3526665,-0.03740833559753637
22,b,The restaurant near the fisherman's dock,singular,are,The restaurant near the fisherman's dock are closed down.,gpt2,syn,1.4415039,-0.07307106742593503
22,c,The restaurant near the fishermans' dock,plural,is,The restaurant near the fishermans' dock is closed down.,gpt2,syn,1.4121548,-0.05048674359267891
22,d,The restaurant near the fishermans' dock,plural,are,The restaurant near the fishermans' dock are closed down.,gpt2,syn,1.5196211,-0.09346294605751339
23,a,The uniform containing the policeman's key,singular,is,The uniform containing the policeman's key is missing.,gpt2,syn,1.2938354,-0.06543671383977856
23,b,The uniform containing the policeman's key,singular,are,The uniform containing the policeman's key are missing.,gpt2,syn,1.3338299,-0.10720735473055495
23,c,The uniform containing the policemans' key,plural,is,The uniform containing the policemans' key is missing.,gpt2,syn,1.4349179,-0.125013972102861
23,d,The uniform containing the policemans' key,plural,are,The uniform containing the policemans' key are missing.,gpt2,syn,1.5310643,-0.17661671059745043
24,a,The visit with the student's teacher,singular,is,The visit with the student's teacher is informative.,gpt2,syn,1.3086203,-0.053956687497572084
24,b,The visit with the student's teacher,singular,are,The visit with the student's teacher are informative.,gpt2,syn,1.4142745,-0.08143689131458104
24,c,The visit with the students' teacher,plural,is,The visit with the students' teacher is informative.,gpt2,syn,1.3213742,-0.03574312941143047
24,d,The visit with the students' teacher,plural,are,The visit with the students' teacher are informative.,gpt2,syn,1.4632295,-0.09801600138359212
25,a,The antique trunk for the child's toy,singular,is,The antique trunk for the child's toy is large.,gpt2,syn,1.444996,-0.0027521391286029068
25,b,The antique trunk for the child's toy,singular,are,The antique trunk for the child's toy are large.,gpt2,syn,1.4881117,-0.004248931349113416
25,c,The antique trunk for the children's toy,plural,is,The antique trunk for the children's toy is large.,gpt2,syn,1.4318587,-0.0005742510317231359
25,d,The antique trunk for the children's toy,plural,are,The antique trunk for the children's toy are large.,gpt2,syn,1.5123892,-0.007426541276521828
26,a,The car with the policeman's insignia,singular,is,The car with the policeman's insignia is new.,gpt2,syn,1.408592,-0.06326898450954505
26,b,The car with the policeman's insignia,singular,are,The car with the policeman's insignia are new.,gpt2,syn,1.4501246,-0.10865851672167469
26,c,The car with the policemans' insignia,plural,is,The car with the policemans' insignia is new.,gpt2,syn,1.4785106,-0.09016553052078688
26,d,The car with the policemans' insignia,plural,are,The car with the policemans' insignia are new.,gpt2,syn,1.5328355,-0.13745148951638236
27,a,The invasion of the enemy's bunker,singular,is,The invasion of the enemy's bunker is merciless.,gpt2,syn,1.3626647,-0.07418104528905364
27,b,The invasion of the enemy's bunker,singular,are,The invasion of the enemy's bunker are merciless.,gpt2,syn,1.4710404,-0.10230616914901529
27,c,The invasion of the enemies' bunker,plural,is,The invasion of the enemies' bunker is merciless.,gpt2,syn,1.3702637,-0.08520620419214626
27,d,The invasion of the enemies' bunker,plural,are,The invasion of the enemies' bunker are merciless.,gpt2,syn,1.5170588,-0.13781872125672778
28,a,The memo from the supervisor's lawyer,singular,is,The memo from the supervisor's lawyer is harsh.,gpt2,syn,1.3673983,-0.04259279337633194
28,b,The memo from the supervisor's lawyer,singular,are,The memo from the supervisor's lawyer are harsh.,gpt2,syn,1.4487617,-0.07047564485961097
28,c,The memo from the supervisors' lawyer,plural,is,The memo from the supervisors' lawyer is harsh.,gpt2,syn,1.3678728,-0.03191994251636676
28,d,The memo from the supervisors' lawyer,plural,are,The memo from the supervisors' lawyer are harsh.,gpt2,syn,1.5028353,-0.11786550501975979
