item,condition,attractor,case,verb,sentence,model_type,attention_entropy,attention_diff
29,amb_sg_sg,sg,amb,sg,Die Hilfsaktion für das Entwicklungsland ist bekannt.,bert,1.2157395,-0.016825187604097853
29,amb_sg_pl,sg,amb,pl,Die Hilfsaktion für das Entwicklungsland sind bekannt.,bert,1.2256182,-0.004484188749358076
29,amb_pl_sg,pl,amb,sg,Die Hilfsaktion für die Entwicklungsländer ist bekannt.,bert,1.0773646,0.006984295505074206
29,amb_pl_pl,pl,amb,pl,Die Hilfsaktion für die Entwicklungsländer sind bekannt.,bert,1.129477,0.00901109043808248
29,unamb_sg_sg,sg,unamb,sg,Die Hilfsaktion in dem Entwicklungsland ist bekannt.,bert,1.1483098,-0.009856092594353182
29,unamb_sg_pl,sg,unamb,pl,Die Hilfsaktion in dem Entwicklungsland sind bekannt.,bert,1.1335472,-0.0003539146492663181
29,unamb_pl_sg,pl,unamb,sg,Die Hilfsaktion in den Entwicklungsländern ist bekannt.,bert,1.0641391,-0.0028765985843535527
29,unamb_pl_pl,pl,unamb,pl,Die Hilfsaktion in den Entwicklungsländern sind bekannt.,bert,1.0611225,0.0011409613719713663
30,amb_sg_sg,sg,amb,sg,Die Fernsehübertragung in das Nachbarland ist bekannt.,bert,1.0345515,-0.027208956499646268
30,amb_sg_pl,sg,amb,pl,Die Fernsehübertragung in das Nachbarland sind bekannt.,bert,1.0539491,-0.016416142443133705
30,amb_pl_sg,pl,amb,sg,Die Fernsehübertragung in die Nachbarländer ist bekannt.,bert,0.9815124,-0.003992508431121047
30,amb_pl_pl,pl,amb,pl,Die Fernsehübertragung in die Nachbarländer sind bekannt.,bert,1.0205864,-0.0055662456525899795
30,unamb_sg_sg,sg,unamb,sg,Die Fernsehübertragung aus dem Nachbarland ist bekannt.,bert,1.0874718,-0.02413125931674459
30,unamb_sg_pl,sg,unamb,pl,Die Fernsehübertragung aus dem Nachbarland sind bekannt.,bert,1.0921103,-0.012805167389322622
30,unamb_pl_sg,pl,unamb,sg,Die Fernsehübertragung aus den Nachbarländern ist bekannt.,bert,1.0379422,-0.00302910240451449
30,unamb_pl_pl,pl,unamb,pl,Die Fernsehübertragung aus den Nachbarländern sind bekannt.,bert,1.0731658,-0.00536043804134316
31,amb_sg_sg,sg,amb,sg,Die Fahrt durch die Schlucht ist bekannt.,bert,0.9853797,0.01103342858057366
31,amb_sg_pl,sg,amb,pl,Die Fahrt durch die Schlucht sind bekannt.,bert,0.99475205,0.0059320567067077876
31,amb_pl_sg,pl,amb,sg,Die Fahrt durch die Schluchten ist bekannt.,bert,0.98320687,0.012799983748928566
31,amb_pl_pl,pl,amb,pl,Die Fahrt durch die Schluchten sind bekannt.,bert,0.9941257,-0.0016620623122160505
31,unamb_sg_sg,sg,unamb,sg,Die Fahrt zu der Schlucht ist bekannt.,bert,0.98032206,0.013614527345563343
31,unamb_sg_pl,sg,unamb,pl,Die Fahrt zu der Schlucht sind bekannt.,bert,0.9927387,0.007544544675527443
31,unamb_pl_sg,pl,unamb,sg,Die Fahrt zu den Schluchten ist bekannt.,bert,0.96832037,0.021506242998906015
31,unamb_pl_pl,pl,unamb,pl,Die Fahrt zu den Schluchten sind bekannt.,bert,0.99214756,0.004224632439536531
32,amb_sg_sg,sg,amb,sg,Die Diskussion über die Beamtin ist bekannt.,bert,1.1849302,0.04575283618876602
32,amb_sg_pl,sg,amb,pl,Die Diskussion über die Beamtin sind bekannt.,bert,1.1831064,0.06752075364924062
32,amb_pl_sg,pl,amb,sg,Die Diskussion über die Beamtinnen ist bekannt.,bert,1.1779215,0.04568411433537245
32,amb_pl_pl,pl,amb,pl,Die Diskussion über die Beamtinnen sind bekannt.,bert,1.2207191,0.05296294556096457
32,unamb_sg_sg,sg,unamb,sg,Die Diskussion mit der Beamtin ist bekannt.,bert,1.1045085,0.043487942550365435
32,unamb_sg_pl,sg,unamb,pl,Die Diskussion mit der Beamtin sind bekannt.,bert,1.0991446,0.05081224034563388
32,unamb_pl_sg,pl,unamb,sg,Die Diskussion mit den Beamtinnen ist bekannt.,bert,1.1014324,0.045726746322836964
32,unamb_pl_pl,pl,unamb,pl,Die Diskussion mit den Beamtinnen sind bekannt.,bert,1.1384671,0.044051445049989854
33,amb_sg_sg,sg,amb,sg,Die Auseinandersetzung über das Kind ist bekannt.,bert,1.1383274,0.049011143305955976
33,amb_sg_pl,sg,amb,pl,Die Auseinandersetzung über das Kind sind bekannt.,bert,1.1453358,0.04702675365271074
33,amb_pl_sg,pl,amb,sg,Die Auseinandersetzung über die Kinder ist bekannt.,bert,1.150763,0.05256707273678726
33,amb_pl_pl,pl,amb,pl,Die Auseinandersetzung über die Kinder sind bekannt.,bert,1.1605387,0.03535661012836023
33,unamb_sg_sg,sg,unamb,sg,Die Auseinandersetzung mit dem Kind ist bekannt.,bert,1.0359879,0.06389458337211552
33,unamb_sg_pl,sg,unamb,pl,Die Auseinandersetzung mit dem Kind sind bekannt.,bert,1.0216668,0.0488625364699143
33,unamb_pl_sg,pl,unamb,sg,Die Auseinandersetzung mit den Kindern ist bekannt.,bert,1.0527172,0.060430371382451956
33,unamb_pl_pl,pl,unamb,pl,Die Auseinandersetzung mit den Kindern sind bekannt.,bert,1.0528862,0.04403655607587212
34,amb_sg_sg,sg,amb,sg,Die Veröffentlichung über die Zeitschrift ist bekannt.,bert,1.0824978,0.0038608940647695857
34,amb_sg_pl,sg,amb,pl,Die Veröffentlichung über die Zeitschrift sind bekannt.,bert,1.0940945,0.003414961205188534
34,amb_pl_sg,pl,amb,sg,Die Veröffentlichung über die Zeitschriften ist bekannt.,bert,1.0700939,0.007479687405498637
34,amb_pl_pl,pl,amb,pl,Die Veröffentlichung über die Zeitschriften sind bekannt.,bert,1.0901302,0.004288510495648958
34,unamb_sg_sg,sg,unamb,sg,Die Veröffentlichung in der Zeitschrift ist bekannt.,bert,1.0744132,0.012942513854358711
34,unamb_sg_pl,sg,unamb,pl,Die Veröffentlichung in der Zeitschrift sind bekannt.,bert,1.0707095,0.009334599353087399
34,unamb_pl_sg,pl,unamb,sg,Die Veröffentlichung in den Zeitschriften ist bekannt.,bert,1.0726699,0.01544927899454595
34,unamb_pl_pl,pl,unamb,pl,Die Veröffentlichung in den Zeitschriften sind bekannt.,bert,1.0716847,0.013129996840887906
35,amb_sg_sg,sg,amb,sg,Die Berichterstattung über die Bundestagsdebatte ist bekannt.,bert,1.2756664,0.020593739243525214
35,amb_sg_pl,sg,amb,pl,Die Berichterstattung über die Bundestagsdebatte sind bekannt.,bert,1.3172666,0.016384909772023802
35,amb_pl_sg,pl,amb,sg,Die Berichterstattung über die Bundestagsdebatten ist bekannt.,bert,1.2585263,0.020991948218821055
35,amb_pl_pl,pl,amb,pl,Die Berichterstattung über die Bundestagsdebatten sind bekannt.,bert,1.3074635,0.012308075151308676
35,unamb_sg_sg,sg,unamb,sg,Die Berichterstattung von der Bundestagsdebatte ist bekannt.,bert,1.2259849,0.02996652058678896
35,unamb_sg_pl,sg,unamb,pl,Die Berichterstattung von der Bundestagsdebatte sind bekannt.,bert,1.2665924,0.024395941317435048
35,unamb_pl_sg,pl,unamb,sg,Die Berichterstattung von den Bundestagsdebatten ist bekannt.,bert,1.1945233,0.03169389999357021
35,unamb_pl_pl,pl,unamb,pl,Die Berichterstattung von den Bundestagsdebatten sind bekannt.,bert,1.255148,0.021692570446561657
36,amb_sg_sg,sg,amb,sg,Die Postkarte für die Mutter ist bekannt.,bert,1.0803597,0.009937035948366424
36,amb_sg_pl,sg,amb,pl,Die Postkarte für die Mutter sind bekannt.,bert,1.1170251,0.017619859343347602
36,amb_pl_sg,pl,amb,sg,Die Postkarte für die Mütter ist bekannt.,bert,1.0718715,-0.003959592905207539
36,amb_pl_pl,pl,amb,pl,Die Postkarte für die Mütter sind bekannt.,bert,1.1151506,-0.003947231543134595
36,unamb_sg_sg,sg,unamb,sg,Die Postkarte von der Mutter ist bekannt.,bert,1.0327014,0.02247249325856261
36,unamb_sg_pl,sg,unamb,pl,Die Postkarte von der Mutter sind bekannt.,bert,1.0528772,0.03153636431706863
36,unamb_pl_sg,pl,unamb,sg,Die Postkarte von den Müttern ist bekannt.,bert,1.0856584,-0.005701397615120882
36,unamb_pl_pl,pl,unamb,pl,Die Postkarte von den Müttern sind bekannt.,bert,1.1019098,-0.004375677109752785
37,amb_sg_sg,sg,amb,sg,Die Kritik über die Aufführung ist bekannt.,bert,1.1041944,0.00809570878034669
37,amb_sg_pl,sg,amb,pl,Die Kritik über die Aufführung sind bekannt.,bert,1.1523354,0.0037832924734005485
37,amb_pl_sg,pl,amb,sg,Die Kritik über die Aufführungen ist bekannt.,bert,1.1041944,0.00809570878034669
37,amb_pl_pl,pl,amb,pl,Die Kritik über die Aufführungen sind bekannt.,bert,1.1523354,0.0037832924734005485
37,unamb_sg_sg,sg,unamb,sg,Die Kritik an der Aufführung ist bekannt.,bert,1.0945699,0.008931148959555157
37,unamb_sg_pl,sg,unamb,pl,Die Kritik an der Aufführung sind bekannt.,bert,1.0998868,0.014858674660584062
37,unamb_pl_sg,pl,unamb,sg,Die Kritik an den Aufführungen ist bekannt.,bert,1.0889051,0.010093755249355428
37,unamb_pl_pl,pl,unamb,pl,Die Kritik an den Aufführungen sind bekannt.,bert,1.0964525,0.014503130731564971
1,amb_sg_sg,sg,amb,sg,Der Telephonanruf für die Studentin ist bekannt.,gpt2,1.1602783,-0.02614087922120234
1,amb_sg_pl,sg,amb,pl,Der Telephonanruf für die Studentin sind bekannt.,gpt2,1.290501,-0.0013473364204401317
1,amb_pl_sg,pl,amb,sg,Der Telephonanruf für die Studentinnen ist bekannt.,gpt2,1.2272627,0.009778465895215027
1,amb_pl_pl,pl,amb,pl,Der Telephonanruf für die Studentinnen sind bekannt.,gpt2,1.4139429,0.011600060871569423
1,unamb_sg_sg,sg,unamb,sg,Der Telephonanruf bei der Studentin ist bekannt.,gpt2,1.0953101,0.03071938784560191
1,unamb_sg_pl,sg,unamb,pl,Der Telephonanruf bei der Studentin sind bekannt.,gpt2,1.24592,0.04201699240948073
1,unamb_pl_sg,pl,unamb,sg,Der Telephonanruf bei den Studentinnen ist bekannt.,gpt2,1.2273242,0.07098218672908846
1,unamb_pl_pl,pl,unamb,pl,Der Telephonanruf bei den Studentinnen sind bekannt.,gpt2,1.3962351,0.042237478145398216
2,amb_sg_sg,sg,amb,sg,Der Antrag an das Amt ist bekannt.,gpt2,0.63337153,0.09758022094611077
2,amb_sg_pl,sg,amb,pl,Der Antrag an das Amt sind bekannt.,gpt2,0.7509635,0.07590545099810697
2,amb_pl_sg,pl,amb,sg,Der Antrag an die Ämter ist bekannt.,gpt2,0.767788,0.07962519219727257
2,amb_pl_pl,pl,amb,pl,Der Antrag an die Ämter sind bekannt.,gpt2,0.87875545,0.022544505511177704
2,unamb_sg_sg,sg,unamb,sg,Der Antrag bei dem Amt ist bekannt.,gpt2,0.69336736,0.08936871505866292
2,unamb_sg_pl,sg,unamb,pl,Der Antrag bei dem Amt sind bekannt.,gpt2,0.79846764,0.06701927649555728
2,unamb_pl_sg,pl,unamb,sg,Der Antrag bei den Ämtern ist bekannt.,gpt2,0.8136226,0.06972661975305527
2,unamb_pl_pl,pl,unamb,pl,Der Antrag bei den Ämtern sind bekannt.,gpt2,0.98558915,0.04537297016941011
3,amb_sg_sg,sg,amb,sg,Der Hinweis auf das Dokument ist bekannt.,gpt2,0.8165865,-0.014929685246897861
3,amb_sg_pl,sg,amb,pl,Der Hinweis auf das Dokument sind bekannt.,gpt2,0.97632647,-0.04253144114627502
3,amb_pl_sg,pl,amb,sg,Der Hinweis auf die Dokumente ist bekannt.,gpt2,0.77459586,-0.022566189554345334
3,amb_pl_pl,pl,amb,pl,Der Hinweis auf die Dokumente sind bekannt.,gpt2,0.9484062,-0.09128097180800979
3,unamb_sg_sg,sg,unamb,sg,Der Hinweis in dem Dokument ist bekannt.,gpt2,0.8803279,-0.04293706074822695
3,unamb_sg_pl,sg,unamb,pl,Der Hinweis in dem Dokument sind bekannt.,gpt2,1.0458487,-0.08383536558831112
3,unamb_pl_sg,pl,unamb,sg,Der Hinweis in den Dokumenten ist bekannt.,gpt2,0.82757854,-0.0488163086847635
3,unamb_pl_pl,pl,unamb,pl,Der Hinweis in den Dokumenten sind bekannt.,gpt2,0.9520215,-0.10540759241121123
4,amb_sg_sg,sg,amb,sg,Der Computer für die Universität ist bekannt.,gpt2,1.1097829,-0.04461376900289907
4,amb_sg_pl,sg,amb,pl,Der Computer für die Universität sind bekannt.,gpt2,1.2255361,-0.03446890458872076
4,amb_pl_sg,pl,amb,sg,Der Computer für die Universitäten ist bekannt.,gpt2,1.1000866,-0.01615811268566178
4,amb_pl_pl,pl,amb,pl,Der Computer für die Universitäten sind bekannt.,gpt2,1.2647203,-0.008940730436006544
4,unamb_sg_sg,sg,unamb,sg,Der Computer in der Universität ist bekannt.,gpt2,0.9616941,-0.03151204097084703
4,unamb_sg_pl,sg,unamb,pl,Der Computer in der Universität sind bekannt.,gpt2,1.0887735,-0.02133981930091977
4,unamb_pl_sg,pl,unamb,sg,Der Computer in den Universitäten ist bekannt.,gpt2,1.0317374,0.010318824253045006
4,unamb_pl_pl,pl,unamb,pl,Der Computer in den Universitäten sind bekannt.,gpt2,1.210341,-0.004000962805002922
5,amb_sg_sg,sg,amb,sg,Der Hilferuf für die Polizeizentrale ist bekannt.,gpt2,1.1101162,0.025270379753783323
5,amb_sg_pl,sg,amb,pl,Der Hilferuf für die Polizeizentrale sind bekannt.,gpt2,1.2227862,0.07728713836986573
5,amb_pl_sg,pl,amb,sg,Der Hilferuf für die Polizeizentralen ist bekannt.,gpt2,0.92791116,0.007126686349511163
5,amb_pl_pl,pl,amb,pl,Der Hilferuf für die Polizeizentralen sind bekannt.,gpt2,1.0822861,-0.0047256648424081615
5,unamb_sg_sg,sg,unamb,sg,Der Hilferuf in der Polizeizentrale ist bekannt.,gpt2,0.9097346,-0.0317137925652787
5,unamb_sg_pl,sg,unamb,pl,Der Hilferuf in der Polizeizentrale sind bekannt.,gpt2,1.0575902,0.00306357941590249
5,unamb_pl_sg,pl,unamb,sg,Der Hilferuf in den Polizeizentralen ist bekannt.,gpt2,0.90275794,0.022350188205018634
5,unamb_pl_pl,pl,unamb,pl,Der Hilferuf in den Polizeizentralen sind bekannt.,gpt2,1.0570266,-0.0009945884812623262
6,amb_sg_sg,sg,amb,sg,Der Brief an die Mutter ist bekannt.,gpt2,0.73625714,-0.0019107314001303166
6,amb_sg_pl,sg,amb,pl,Der Brief an die Mutter sind bekannt.,gpt2,0.8725933,-0.003810255683492886
6,amb_pl_sg,pl,amb,sg,Der Brief an die Mütter ist bekannt.,gpt2,0.84800816,0.010608129389584053
6,amb_pl_pl,pl,amb,pl,Der Brief an die Mütter sind bekannt.,gpt2,0.9480421,-0.024327153875492502
6,unamb_sg_sg,sg,unamb,sg,Der Brief von der Mutter ist bekannt.,gpt2,0.8370654,-0.011467034916859103
6,unamb_sg_pl,sg,unamb,pl,Der Brief von der Mutter sind bekannt.,gpt2,0.9985727,-0.02835267280461265
6,unamb_pl_sg,pl,unamb,sg,Der Brief von den Müttern ist bekannt.,gpt2,0.9285963,-0.0197285507572815
6,unamb_pl_pl,pl,unamb,pl,Der Brief von den Müttern sind bekannt.,gpt2,1.0807588,-0.042942689359188074
7,amb_sg_sg,sg,amb,sg,Der Einbruch in die Bank ist bekannt.,gpt2,0.7189635,0.046896000867127446
7,amb_sg_pl,sg,amb,pl,Der Einbruch in die Bank sind bekannt.,gpt2,0.91181564,0.02983237137086689
7,amb_pl_sg,pl,amb,sg,Der Einbruch in die Banken ist bekannt.,gpt2,0.7254823,0.04005227315356025
7,amb_pl_pl,pl,amb,pl,Der Einbruch in die Banken sind bekannt.,gpt2,0.8940934,0.011051559925545018
7,unamb_sg_sg,sg,unamb,sg,Der Einbruch bei der Bank ist bekannt.,gpt2,0.7600581,0.06106377649120989
7,unamb_sg_pl,sg,unamb,pl,Der Einbruch bei der Bank sind bekannt.,gpt2,0.94501704,0.04700885639758781
7,unamb_pl_sg,pl,unamb,sg,Der Einbruch bei den Banken ist bekannt.,gpt2,0.79960763,0.05738244433887302
7,unamb_pl_pl,pl,unamb,pl,Der Einbruch bei den Banken sind bekannt.,gpt2,0.9787425,0.029093321505933994
8,amb_sg_sg,sg,amb,sg,Der Ratschlag für die Hausfrau ist bekannt.,gpt2,1.195416,0.011175145185552515
8,amb_sg_pl,sg,amb,pl,Der Ratschlag für die Hausfrau sind bekannt.,gpt2,1.2866496,-0.000838747213128932
8,amb_pl_sg,pl,amb,sg,Der Ratschlag für die Hausfrauen ist bekannt.,gpt2,1.1676209,0.03148950668401085
8,amb_pl_pl,pl,amb,pl,Der Ratschlag für die Hausfrauen sind bekannt.,gpt2,1.3237556,0.03123995690839365
8,unamb_sg_sg,sg,unamb,sg,Der Ratschlag von der Hausfrau ist bekannt.,gpt2,1.0913876,-0.004280486656352861
8,unamb_sg_pl,sg,unamb,pl,Der Ratschlag von der Hausfrau sind bekannt.,gpt2,1.2432168,-0.04221870484761894
8,unamb_pl_sg,pl,unamb,sg,Der Ratschlag von den Hausfrauen ist bekannt.,gpt2,1.1148361,-0.00448136727791279
8,unamb_pl_pl,pl,unamb,pl,Der Ratschlag von den Hausfrauen sind bekannt.,gpt2,1.2789695,-0.04261117356363686
9,amb_sg_sg,sg,amb,sg,Der Angriff auf die Industriestadt ist bekannt.,gpt2,0.9033097,0.026509645095211448
9,amb_sg_pl,sg,amb,pl,Der Angriff auf die Industriestadt sind bekannt.,gpt2,1.0869739,0.043211938231252134
9,amb_pl_sg,pl,amb,sg,Der Angriff auf die Industriestädte ist bekannt.,gpt2,0.89894897,-0.03791659006383272
9,amb_pl_pl,pl,amb,pl,Der Angriff auf die Industriestädte sind bekannt.,gpt2,1.0916536,-0.06797587292967364
9,unamb_sg_sg,sg,unamb,sg,Der Angriff bei der Industriestadt ist bekannt.,gpt2,0.98288983,0.07728609765181318
9,unamb_sg_pl,sg,unamb,pl,Der Angriff bei der Industriestadt sind bekannt.,gpt2,1.1681936,0.07270247471460606
9,unamb_pl_sg,pl,unamb,sg,Der Angriff bei den Industriestädten ist bekannt.,gpt2,0.9860055,0.007805585802998394
9,unamb_pl_pl,pl,unamb,pl,Der Angriff bei den Industriestädten sind bekannt.,gpt2,1.2011873,-0.032770070969127096
10,amb_sg_sg,sg,amb,sg,Der Bericht über das Fussballspiel ist bekannt.,gpt2,0.925752,-0.0319954761551344
10,amb_sg_pl,sg,amb,pl,Der Bericht über das Fussballspiel sind bekannt.,gpt2,1.0248581,-0.023705710071953934
10,amb_pl_sg,pl,amb,sg,Der Bericht über die Fussballspiele ist bekannt.,gpt2,0.88165474,-0.02558123057388001
10,amb_pl_pl,pl,amb,pl,Der Bericht über die Fussballspiele sind bekannt.,gpt2,0.99377763,-0.049687348988663865
10,unamb_sg_sg,sg,unamb,sg,Der Bericht nach dem Fussballspiel ist bekannt.,gpt2,0.92901695,-0.022200925200741045
10,unamb_sg_pl,sg,unamb,pl,Der Bericht nach dem Fussballspiel sind bekannt.,gpt2,1.0922524,-0.04507428446304401
10,unamb_pl_sg,pl,unamb,sg,Der Bericht nach den Fussballspielen ist bekannt.,gpt2,0.90648115,-0.006194047463577601
10,unamb_pl_pl,pl,unamb,pl,Der Bericht nach den Fussballspielen sind bekannt.,gpt2,1.0605581,-0.04842955646417979
11,amb_sg_sg,sg,amb,sg,Der Aufstand gegen das Nachbarland ist bekannt.,gpt2,0.74281526,0.06919441261561587
11,amb_sg_pl,sg,amb,pl,Der Aufstand gegen das Nachbarland sind bekannt.,gpt2,0.8454366,0.055764119621017016
11,amb_pl_sg,pl,amb,sg,Der Aufstand gegen die Nachbarländer ist bekannt.,gpt2,0.76787233,-0.006906456570141023
11,amb_pl_pl,pl,amb,pl,Der Aufstand gegen die Nachbarländer sind bekannt.,gpt2,0.9110156,-0.011906858877046012
11,unamb_sg_sg,sg,unamb,sg,Der Aufstand in dem Nachbarland ist bekannt.,gpt2,0.7632256,0.0626683738955762
11,unamb_sg_pl,sg,unamb,pl,Der Aufstand in dem Nachbarland sind bekannt.,gpt2,0.86469585,0.04571507064392788
11,unamb_pl_sg,pl,unamb,sg,Der Aufstand in den Nachbarländern ist bekannt.,gpt2,0.8335525,0.008313619927503152
11,unamb_pl_pl,pl,unamb,pl,Der Aufstand in den Nachbarländern sind bekannt.,gpt2,1.0098898,-0.009601184353232373
12,amb_sg_sg,sg,amb,sg,Der Aufsatz für das Wochenblatt ist bekannt.,gpt2,0.94922274,0.017383565718773752
12,amb_sg_pl,sg,amb,pl,Der Aufsatz für das Wochenblatt sind bekannt.,gpt2,1.0814776,-0.010717736344668077
12,amb_pl_sg,pl,amb,sg,Der Aufsatz für die Wochenblätter ist bekannt.,gpt2,1.0719656,-0.06852691869489719
12,amb_pl_pl,pl,amb,pl,Der Aufsatz für die Wochenblätter sind bekannt.,gpt2,1.2068195,-0.1508704130582373
12,unamb_sg_sg,sg,unamb,sg,Der Aufsatz in dem Wochenblatt ist bekannt.,gpt2,0.91423434,-0.024154325592098763
12,unamb_sg_pl,sg,unamb,pl,Der Aufsatz in dem Wochenblatt sind bekannt.,gpt2,1.1001575,-0.07856327968183904
12,unamb_pl_sg,pl,unamb,sg,Der Aufsatz in den Wochenblättern ist bekannt.,gpt2,0.9710701,-0.08557497945439538
12,unamb_pl_pl,pl,unamb,pl,Der Aufsatz in den Wochenblättern sind bekannt.,gpt2,1.1231536,-0.1651617553259712
13,amb_sg_sg,sg,amb,sg,Der Bericht über die Ärztin ist bekannt.,gpt2,1.0036225,0.024406451007234875
13,amb_sg_pl,sg,amb,pl,Der Bericht über die Ärztin sind bekannt.,gpt2,1.1256466,0.01032529834483284
13,amb_pl_sg,pl,amb,sg,Der Bericht über die Ärztinnen ist bekannt.,gpt2,0.9134655,-0.0046946497765020245
13,amb_pl_pl,pl,amb,pl,Der Bericht über die Ärztinnen sind bekannt.,gpt2,1.1055167,-0.017574576725019164
13,unamb_sg_sg,sg,unamb,sg,Der Bericht von der Ärztin ist bekannt.,gpt2,1.0012848,0.013563093915581692
13,unamb_sg_pl,sg,unamb,pl,Der Bericht von der Ärztin sind bekannt.,gpt2,1.1263365,-0.018411745381308714
13,unamb_pl_sg,pl,unamb,sg,Der Bericht von den Ärztinnen ist bekannt.,gpt2,0.98150826,0.011839742929441871
13,unamb_pl_pl,pl,unamb,pl,Der Bericht von den Ärztinnen sind bekannt.,gpt2,1.1960002,-0.014002943498780951
14,amb_sg_sg,sg,amb,sg,Der Verweis auf die Akte ist bekannt.,gpt2,0.8102597,-0.06912471218965946
14,amb_sg_pl,sg,amb,pl,Der Verweis auf die Akte sind bekannt.,gpt2,0.9476141,-0.1356607531080954
14,amb_pl_sg,pl,amb,sg,Der Verweis auf die Akten ist bekannt.,gpt2,0.7548095,-0.045061658351914974
14,amb_pl_pl,pl,amb,pl,Der Verweis auf die Akten sind bekannt.,gpt2,0.90561026,-0.12343847638694572
14,unamb_sg_sg,sg,unamb,sg,Der Verweis in der Akte ist bekannt.,gpt2,0.81010276,-0.11452949786907995
14,unamb_sg_pl,sg,unamb,pl,Der Verweis in der Akte sind bekannt.,gpt2,0.9139015,-0.19030198642285542
14,unamb_pl_sg,pl,unamb,sg,Der Verweis in den Akten ist bekannt.,gpt2,0.766088,-0.07296621262794362
14,unamb_pl_pl,pl,unamb,pl,Der Verweis in den Akten sind bekannt.,gpt2,0.8884384,-0.15859582924749704
15,amb_sg_sg,sg,amb,sg,Der Kredit für die Grossbank ist bekannt.,gpt2,1.0676992,-0.008629389549605543
15,amb_sg_pl,sg,amb,pl,Der Kredit für die Grossbank sind bekannt.,gpt2,1.1955864,-0.023763993056491017
15,amb_pl_sg,pl,amb,sg,Der Kredit für die Grossbanken ist bekannt.,gpt2,1.0156871,-0.016646998975193145
15,amb_pl_pl,pl,amb,pl,Der Kredit für die Grossbanken sind bekannt.,gpt2,1.1847196,-0.029259910294786112
15,unamb_sg_sg,sg,unamb,sg,Der Kredit von der Grossbank ist bekannt.,gpt2,1.0181072,-0.006860374612733727
15,unamb_sg_pl,sg,unamb,pl,Der Kredit von der Grossbank sind bekannt.,gpt2,1.1956018,-0.05373095748946072
15,unamb_pl_sg,pl,unamb,sg,Der Kredit von den Grossbanken ist bekannt.,gpt2,1.0066836,-0.02603610083751845
15,unamb_pl_pl,pl,unamb,pl,Der Kredit von den Grossbanken sind bekannt.,gpt2,1.1959441,-0.072406818944728
16,amb_sg_sg,sg,amb,sg,Das Gespräch über das Mädchen ist bekannt.,gpt2,1.0510504,-0.010473978779918985
16,amb_sg_pl,sg,amb,pl,Das Gespräch über das Mädchen sind bekannt.,gpt2,1.2122314,-0.03021412897214759
16,amb_pl_sg,pl,amb,sg,Das Gespräch über die Mädchen ist bekannt.,gpt2,1.0422416,-0.007909364700026345
16,amb_pl_pl,pl,amb,pl,Das Gespräch über die Mädchen sind bekannt.,gpt2,1.2154276,-0.030599718602024956
16,unamb_sg_sg,sg,unamb,sg,Das Gespräch mit dem Mädchen ist bekannt.,gpt2,0.9684151,-0.03712060335092246
16,unamb_sg_pl,sg,unamb,pl,Das Gespräch mit dem Mädchen sind bekannt.,gpt2,1.1485524,-0.0609071539249271
16,unamb_pl_sg,pl,unamb,sg,Das Gespräch mit den Mädchen ist bekannt.,gpt2,0.95545626,-0.026955970993731176
16,unamb_pl_pl,pl,unamb,pl,Das Gespräch mit den Mädchen sind bekannt.,gpt2,1.1516514,-0.05977754348423331
17,amb_sg_sg,sg,amb,sg,Das Buch über die Bibliothek ist bekannt.,gpt2,0.9951812,-0.01218211397354027
17,amb_sg_pl,sg,amb,pl,Das Buch über die Bibliothek sind bekannt.,gpt2,1.15816,-0.03755516460805666
17,amb_pl_sg,pl,amb,sg,Das Buch über die Bibliotheken ist bekannt.,gpt2,0.97474223,-0.016002217220375314
17,amb_pl_pl,pl,amb,pl,Das Buch über die Bibliotheken sind bekannt.,gpt2,1.1704882,-0.06371619096025827
17,unamb_sg_sg,sg,unamb,sg,Das Buch in der Bibliothek ist bekannt.,gpt2,0.8796668,-0.016813053213991236
17,unamb_sg_pl,sg,unamb,pl,Das Buch in der Bibliothek sind bekannt.,gpt2,1.0623882,-0.08691931955981999
17,unamb_pl_sg,pl,unamb,sg,Das Buch in den Bibliotheken ist bekannt.,gpt2,0.8873497,-0.03195695758331568
17,unamb_pl_pl,pl,unamb,pl,Das Buch in den Bibliotheken sind bekannt.,gpt2,1.0544124,-0.1485166579252109
18,amb_sg_sg,sg,amb,sg,Das Bild für die Frau ist bekannt.,gpt2,0.9821025,-0.05729126206133517
18,amb_sg_pl,sg,amb,pl,Das Bild für die Frau sind bekannt.,gpt2,1.1581415,-0.04859660694492049
18,amb_pl_sg,pl,amb,sg,Das Bild für die Frauen ist bekannt.,gpt2,0.9694832,-0.02041499131300953
18,amb_pl_pl,pl,amb,pl,Das Bild für die Frauen sind bekannt.,gpt2,1.126379,-0.041123393969610345
18,unamb_sg_sg,sg,unamb,sg,Das Bild mit der Frau ist bekannt.,gpt2,0.8383088,-0.007583851902745659
18,unamb_sg_pl,sg,unamb,pl,Das Bild mit der Frau sind bekannt.,gpt2,1.0645121,0.0011809723917394765
18,unamb_pl_sg,pl,unamb,sg,Das Bild mit den Frauen ist bekannt.,gpt2,0.7910846,0.020795432745944697
18,unamb_pl_pl,pl,unamb,pl,Das Bild mit den Frauen sind bekannt.,gpt2,0.9908227,-0.009614494082052255
19,amb_sg_sg,sg,amb,sg,Das Telegramm für die Sängerin ist bekannt.,gpt2,1.1583831,-0.013034418158349576
